km,log_fiyat,model_1.6 TDi BlueMotion Business,model_1.6 TDi BlueMotion Comfortline,model_1.6 TDi BlueMotion Elegance,model_1.6 TDi BlueMotion Exclusive,model_1.6 TDi BlueMotion Highline,model_1.6 TDi BlueMotion Impression,model_1.6 TDi BlueMotion R Line,model_1.6 TDi BlueMotion Trendline,kasa_Station wagon,renk_Diğer,renk_Füme,renk_Gri,renk_Kahverengi,renk_Lacivert,renk_Mavi,renk_Siyah,kimden_Sahibinden,agirlikli_hasar_skoru,arac_yasi,b7_kasa,yıl_2012.0,yıl_2013.0,yıl_2014.0,yıl_2015.0,yıl_2016.0,yıl_2017.0,yıl_2018.0,yıl_2019.0,yıl_2020.0,otomatik_vites
56500,14.169682371684887,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,106.7611,5.0,False,False,False,False,False,False,False,False,False,True,True
160000,14.220308777084735,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,136.64228,6.0,False,False,False,False,False,False,False,False,True,False,True
305000,13.81049801614073,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,102.16345,10.0,False,False,False,False,True,False,False,False,False,False,True
270000,13.972941565913102,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,131.57934999999998,8.0,False,False,False,False,False,False,True,False,False,False,True
190000,14.037853789107714,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,139.48105999999999,8.0,False,False,False,False,False,False,True,False,False,False,True
135000,13.997832114758229,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,157.1735,11.0,True,False,False,True,False,False,False,False,False,False,True
150000,14.137594057133388,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,167.03883,7.0,False,False,False,False,False,False,False,True,False,False,True
204000,14.12292172559705,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.010759999999999,10.0,False,False,False,False,True,False,False,False,False,False,True
211000,13.790192749979985,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36.314009999999996,12.0,True,False,True,False,False,False,False,False,False,False,True
234000,14.176675407175859,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,130.8106,9.0,False,False,False,False,False,True,False,False,False,False,True
165000,14.077105295652737,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
138000,13.901688254205327,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,163.87750000000003,11.0,True,False,False,True,False,False,False,False,False,False,True
182000,14.197365800433305,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,23.383200000000002,7.0,False,False,False,False,False,False,False,True,False,False,True
152000,13.864300722133706,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4.08,11.0,True,False,False,True,False,False,False,False,False,False,False
203000,13.9108207377686,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,159.8309,10.0,False,False,False,False,True,False,False,False,False,False,True
223000,13.928839243271277,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,146.58105,9.0,False,False,False,False,False,True,False,False,False,False,True
143000,14.069958959106897,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,87.84405000000001,7.0,False,False,False,False,False,False,False,True,False,False,True
108000,14.182927598434908,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,10.0,False,False,False,False,True,False,False,False,False,False,True
137000,14.172485456912005,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,6.0888,6.0,False,False,False,False,False,False,False,False,True,False,True
68000,14.375126345899696,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
135000,13.737549016494562,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,136.64228,10.0,False,False,False,False,True,False,False,False,False,False,False
341000,13.864300722133706,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,44.6379,10.0,False,False,False,False,True,False,False,False,False,False,True
125000,14.343193298796688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
226000,14.151268253647618,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
137500,14.282384294201082,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
118000,14.425276129585168,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
130000,14.183619879528669,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,8.0,False,False,False,False,False,False,True,False,False,False,True
235000,14.148404973237604,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5.010759999999999,9.0,False,False,False,False,False,True,False,False,False,False,True
195000,14.366517971363097,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,68.43818,6.0,False,False,False,False,False,False,False,False,True,False,True
92000,14.316285845876763,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
368000,13.526494262499357,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,177.46959,13.0,True,True,False,False,False,False,False,False,False,False,True
148000,13.976778705560397,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,100.1512,6.0,False,False,False,False,False,False,False,False,True,False,True
156000,14.253120119399005,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,6.0,False,False,False,False,False,False,False,False,True,False,True
121000,14.321725569172582,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
162000,14.237504968023648,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.5213,5.0,False,False,False,False,False,False,False,False,False,True,True
169000,14.165815254895163,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,8.0,False,False,False,False,False,False,True,False,False,False,True
181000,13.989463865087712,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,172.53490000000002,9.0,False,False,False,False,False,True,False,False,False,False,True
158000,13.849911984681606,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,12.0,True,False,True,False,False,False,False,False,False,False,False
120000,14.528460365820399,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
145000,14.137594057133388,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,10.0,False,False,False,False,True,False,False,False,False,False,True
152000,14.050582680143757,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,64.22975,9.0,False,False,False,False,False,True,False,False,False,False,True
105000,14.328334184392938,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,6.0,False,False,False,False,False,False,False,False,True,False,True
199500,13.704020181930911,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,74.38535,12.0,True,False,True,False,False,False,False,False,False,False,True
117000,14.569282360340654,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6.0888,5.0,False,False,False,False,False,False,False,False,False,True,True
247000,13.758940206475879,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2248,12.0,True,False,True,False,False,False,False,False,False,False,True
167900,14.278615445518852,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
237000,14.09692301740246,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,10.0,False,False,False,False,True,False,False,False,False,False,True
313000,13.790192749979985,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,162.10775,8.0,False,False,False,False,False,False,True,False,False,False,True
190000,14.070075253953227,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,23.383200000000002,9.0,False,False,False,False,False,True,False,False,False,False,True
170000,14.247292974389811,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
164500,14.197365800433305,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,25.149680000000004,8.0,False,False,False,False,False,False,True,False,False,False,True
351000,13.58609739363647,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,12.0,True,False,True,False,False,False,False,False,False,False,True
490000,13.304684934198283,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,136.64228,14.0,True,False,False,False,False,False,False,False,False,False,False
224000,14.089347223594002,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
202000,14.058456736574664,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,6.0,False,False,False,False,False,False,False,False,True,False,True
285000,13.864300722133706,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.0,10.0,False,False,False,False,True,False,False,False,False,False,True
185000,13.737549016494562,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,12.0,True,False,True,False,False,False,False,False,False,False,False
165000,14.104441849816487,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,21.05368,10.0,False,False,False,False,True,False,False,False,False,False,True
214000,14.250534468313983,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
149000,14.29112342597452,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
150000,14.193604469276307,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,5.83168,9.0,False,False,False,False,False,True,False,False,False,False,True
149700,14.144814305106875,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,77.41349000000001,8.0,False,False,False,False,False,False,True,False,False,False,True
99500,13.993656743347747,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.60223,11.0,True,False,False,True,False,False,False,False,False,False,True
205000,13.693342923990066,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.34252,13.0,True,True,False,False,False,False,False,False,False,False,False
55000,14.301018373745976,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,62.3424,6.0,False,False,False,False,False,False,False,False,True,False,True
75000,14.427989835456765,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.010759999999999,7.0,False,False,False,False,False,False,False,True,False,False,True
255000,14.085537695177335,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,17.10935,9.0,False,False,False,False,False,True,False,False,False,False,True
120000,14.334304351379442,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
158000,14.3372761217686,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
111250,14.284576247482033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.98764,6.0,False,False,False,False,False,False,False,False,True,False,True
179500,14.006130917572923,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,42.54924,10.0,False,False,False,False,True,False,False,False,False,False,True
228000,14.187074114396758,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
120000,14.493544100714171,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,55.60691,5.0,False,False,False,False,False,False,False,False,False,True,True
256000,13.927945987294063,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,20.37294,10.0,False,False,False,False,True,False,False,False,False,False,True
209000,14.038654109278484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,125.55876,7.0,False,False,False,False,False,False,False,True,False,False,True
283000,13.835313185260453,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,49.00775,8.0,False,False,False,False,False,False,True,False,False,False,True
217000,13.834332312204863,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,11.0,True,False,False,True,False,False,False,False,False,False,True
202000,14.253765488895429,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,97.72243,8.0,False,False,False,False,False,False,True,False,False,False,True
180000,14.06158908056098,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,102.46045000000001,8.0,False,False,False,False,False,False,True,False,False,False,True
137000,14.304090572782945,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
185000,14.151982794585487,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,False
113000,14.328334184392938,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.743780000000001,5.0,False,False,False,False,False,False,False,False,False,True,True
286000,14.038654109278484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,15.222,10.0,False,False,False,False,True,False,False,False,False,False,True
104795,14.375126345899696,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,15.75942,5.0,False,False,False,False,False,False,False,False,False,True,True
235000,13.742939865129438,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.512200000000002,12.0,True,False,True,False,False,False,False,False,False,False,True
197000,13.901596506877404,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.0,11.0,True,False,False,True,False,False,False,False,False,False,True
154000,14.269765830241871,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,34.5649,9.0,False,False,False,False,False,True,False,False,False,False,True
300000,14.04662227892766,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.83258,9.0,False,False,False,False,False,True,False,False,False,False,True
235000,13.748301808270824,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,11.0,True,False,False,True,False,False,False,False,False,False,True
247582,13.8878312195439,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,34.50993,11.0,True,False,False,True,False,False,False,False,False,False,True
175000,14.077874822431765,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.010759999999999,11.0,True,False,False,True,False,False,False,False,False,False,True
290000,13.955272500339433,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,46.85844,9.0,False,False,False,False,False,True,False,False,False,False,True
217000,13.981024996441848,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,55.671189999999996,8.0,False,False,False,False,False,False,True,False,False,False,True
187000,13.94214320889764,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39.229459999999996,12.0,True,False,True,False,False,False,False,False,False,False,True
244000,13.993656743347747,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,55.4831,8.0,False,False,False,False,False,False,True,False,False,False,True
126583,14.240778293368619,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,60.3668,10.0,False,False,False,False,True,False,False,False,False,False,True
203000,14.038654109278484,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,44.08851,9.0,False,False,False,False,False,True,False,False,False,False,True
231650,13.985253332551368,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,84.03645,8.0,False,False,False,False,False,False,True,False,False,False,True
232000,13.815410552963941,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,162.26049999999998,9.0,False,False,False,False,False,True,False,False,False,False,True
266000,14.050582680143757,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39.3324,7.0,False,False,False,False,False,False,False,True,False,False,True
92600,13.94214320889764,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,88.72470000000001,11.0,True,False,False,True,False,False,False,False,False,False,True
160000,13.993656743347747,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.01564,11.0,True,False,False,True,False,False,False,False,False,False,True
285000,13.800396920154226,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,96.97471000000002,8.0,False,False,False,False,False,False,True,False,False,False,True
84000,14.414347059052979,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
252000,13.981024996441848,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,136.88899999999998,10.0,False,False,False,False,True,False,False,False,False,False,True
270000,14.053660941385006,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,187.32350000000002,10.0,False,False,False,False,True,False,False,False,False,False,True
131311,14.357776707564584,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
82500,14.092384431699452,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,71.37728000000001,7.0,False,False,False,False,False,False,False,True,False,False,True
199000,14.070152776337855,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,53.611000000000004,6.0,False,False,False,False,False,False,False,False,True,False,True
253000,13.604789526648622,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,150.66375000000002,11.0,True,False,False,True,False,False,False,False,False,False,True
113000,14.301018373745976,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
215000,13.764217263576723,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,12.0,True,False,True,False,False,False,False,False,False,False,False
150000,14.240745613096061,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,10.0,False,False,False,False,True,False,False,False,False,False,True
184000,13.815510557964274,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,142.55856999999997,13.0,True,True,False,False,False,False,False,False,False,False,False
233000,14.093142294562554,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
138000,14.316285845876763,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,117.33006,5.0,False,False,False,False,False,False,False,False,False,True,True
222500,14.01436141670944,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,136.64228,11.0,True,False,False,True,False,False,False,False,False,False,True
186200,14.093142294562554,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,147.56638999999998,9.0,False,False,False,False,False,True,False,False,False,False,True
224300,13.785051350479566,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,0.0,13.0,True,True,False,False,False,False,False,False,False,False,False
81000,14.141210697603576,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,10.0,False,False,False,False,True,False,False,False,False,False,False
202500,13.997832114758229,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,80.8494,9.0,False,False,False,False,False,True,False,False,False,False,True
186000,14.122995257712235,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,136.64228,8.0,False,False,False,False,False,False,True,False,False,False,True
292000,13.676248490630767,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,92.15925,11.0,True,False,False,True,False,False,False,False,False,False,True
101000,14.331323723241304,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,136.64228,7.0,False,False,False,False,False,False,False,True,False,False,True
155000,13.800396920154226,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.0,12.0,True,False,True,False,False,False,False,False,False,False,False
153000,14.30715336231349,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,136.64228,9.0,False,False,False,False,False,True,False,False,False,False,True
168000,13.997832114758229,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,44.97934000000001,11.0,True,False,False,True,False,False,False,False,False,False,False
132000,14.130321297804308,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,72.05162000000001,5.0,False,False,False,False,False,False,False,False,False,True,True
240000,13.928839243271277,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,6.37968,10.0,False,False,False,False,True,False,False,False,False,False,True
194000,13.946538820370678,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,63.322860000000006,10.0,False,False,False,False,True,False,False,False,False,False,True
68000,14.266586177324491,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,136.64228,7.0,False,False,False,False,False,False,False,True,False,False,False
253000,13.9368428431318,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,219.90706999999998,10.0,False,False,False,False,True,False,False,False,False,False,True
48000,14.28551418721001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.0,8.0,False,False,False,False,False,False,True,False,False,False,False
342000,13.892471599100402,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,115.00121999999999,8.0,False,False,False,False,False,False,True,False,False,False,True
248000,14.054527458434775,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,62.3424,5.0,False,False,False,False,False,False,False,False,False,True,True
195000,13.997832114758229,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,5.677560000000001,8.0,False,False,False,False,False,False,True,False,False,False,True
216000,14.085537695177335,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,10.0,False,False,False,False,True,False,False,False,False,False,True
215000,13.681979165339751,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,13.0,True,True,False,False,False,False,False,False,False,False,False
130000,14.301018373745976,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
165000,14.115615150414612,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,205.60344000000003,9.0,False,False,False,False,False,True,False,False,False,False,True
198000,14.089347223594002,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
249500,13.635187003832993,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,41.86534,11.0,True,False,False,True,False,False,False,False,False,False,True
143600,14.115615150414612,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,157.09682999999998,10.0,False,False,False,False,True,False,False,False,False,False,True
95000,14.187074114396758,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,148.96346,10.0,False,False,False,False,True,False,False,False,False,False,False
115000,14.244040939003435,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,6.0,False,False,False,False,False,False,False,False,True,False,True
134000,14.266586177324491,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
198500,14.093142294562554,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,40.9353,9.0,False,False,False,False,False,True,False,False,False,False,True
106000,14.331323723241304,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6.37968,5.0,False,False,False,False,False,False,False,False,False,True,True
197000,14.085537695177335,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,10.0,False,False,False,False,True,False,False,False,False,False,True
117000,14.374554754000739,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,131.63152,6.0,False,False,False,False,False,False,False,False,True,False,True
97800,14.28551418721001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
109000,14.452087387035824,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.0,8.0,False,False,False,False,False,False,True,False,False,False,True
113000,14.180153671552183,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,False
181000,13.681979165339751,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,157.4249,13.0,True,True,False,False,False,False,False,False,False,False,True
320000,14.133964289082808,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,64.03997,8.0,False,False,False,False,False,False,True,False,False,False,True
60000,14.569282360340654,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
92000,14.316285845876763,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,139.68668,6.0,False,False,False,False,False,False,False,False,True,False,True
119000,14.360737608447597,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,148.96346,6.0,False,False,False,False,False,False,False,False,True,False,True
270000,14.166167429577444,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.0,10.0,False,False,False,False,True,False,False,False,False,False,True
187000,13.62918097977278,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,162.10775,11.0,True,False,False,True,False,False,False,False,False,False,True
228000,14.026581528044215,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,8.0,False,False,False,False,False,False,True,False,False,False,True
243000,13.972514306773938,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,9.0,False,False,False,False,False,True,False,False,False,False,True
43000,14.480772535034683,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
186000,13.981024996441848,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,11.0,True,False,False,True,False,False,False,False,False,False,True
199000,13.651814465293484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,144.40324999999999,12.0,True,False,True,False,False,False,False,False,False,False,False
198000,13.681979165339751,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,70.05930000000001,12.0,True,False,True,False,False,False,False,False,False,False,True
110000,14.282384294201082,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,7.0,False,False,False,False,False,False,False,True,False,False,True
99000,14.392123922268269,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,5.0,False,False,False,False,False,False,False,False,False,True,True
111000,14.151268253647618,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,8.0,False,False,False,False,False,False,True,False,False,False,True
247000,13.784019890872903,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,156.47896,8.0,False,False,False,False,False,False,True,False,False,False,True
216000,13.963930563082547,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,28.49391,10.0,False,False,False,False,True,False,False,False,False,False,True
195000,14.074021253115776,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,130.8106,9.0,False,False,False,False,False,True,False,False,False,False,True
191000,13.794286921512647,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,60.3668,13.0,True,True,False,False,False,False,False,False,False,False,True
95000,14.212607416401921,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.10935,10.0,False,False,False,False,True,False,False,False,False,False,True
