ilan_linki,aciklama
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-highline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-highline-2012-model/30165939,"05411183095

ARACIM 2012 MODEL OLUP MOTORU YÜRÜYENİ ŞANZUMANI KUSURSUZDUR

ARAÇ BEJ İÇ DÖŞEME, SİS FARI, AUTO FAR YAĞMUR SENSÖRÜ BULUNAN COMFORTLİNE PAKET OLUP ÖZEL SİPARİŞ ÜST AÇAR MEVCUTTUR

ARACIN KAVRAMA VOLANT, DİSK BALATA 4 LASTİK YENİ OLUP FATURA MEVCUTTUR

ARAÇ 3 BOYA 1 DEĞİŞEN HARİCİ HATASIZDIR. AĞIR HASAR KAYITLIDIR

SİYAH CAM ZENON FAR GİBİ EXTRALARI MEVCUTTUR. KUSURSUZ BIR ARAÇTIR"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/seckin-motors-2018-passat-comfortline-hatasiz-45-bin-km/30609757,"***SEÇKİN MOTORS***

***2018 MODEL***

***VOLKSWAGEN PASSAT***

***1.6 TDI 120 BG***

***COMFORTLİNE PAKET***

***ORJ. 45.000 KM​***

***DOĞUŞ BAKIMLI***

***ERGO ACTİVE KOLTUKLAR***

***OTO. FAR SENSÖRÜ***

***17'' COMFORTLİNE JANT***

***ÇARPIŞMA ÖNLEME***

***AKTİF CRUİSE CONTROL***

***ÖN ARKA PARK SENSÖRÜ***

***YOL BİLGİSAYARI***

***VS....***

---EKSPERTİZ---

***3 PARÇA LOKAL BOYA***

***( SAĞ ÖN ÇAMURLUK-SAĞ ARKA KAPI ALTI-)***

***DEĞİŞEN YOKTUR..***

***TRAMER: 2.000 TL***

***BELİRTİLENLER HARİCİNDE BOYA DEĞİŞEN TRAMER YOKTUR....***

************DETAYLI BİLGİ İÇİN ARAYABİLİRSİNİZ************

***************NOT : TAKAS FİYATIMIZ FARKLIDIR***************

***********NOT: TÜM ARAÇLARIMIZ EXPERTİZ GARANTİLİDİR***********

************Firmamızda**********ÇEK - SENET - VADE-**********İle satışımız yoktur.************

*************DİĞER İLANLARIMIZ İÇİN LİNK'İ TIKLAYINIZ*************

*************https://arabam.com/galeri/seckin-motors-istanbul/*************"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2013-volkswagen-passat-1-6-tdi-hatasiz-boyasiz-ekonomik/30177082,"**EGEMEN AUTO PLAZA’DAN**

**2013 VOLKSWAGEN PASSAT 1.6 TDI BLUEMOTION COMFORTLINE – Otomatik, Siyah, Hatasız ve Ekonomik**

**Araç Bilgileri**

**✔ Marka / Model: 2013 Volkswagen Passat 1.6 TDI Bluemotion Comfortline**

**✔ Vites: Otomatik**

**✔ Yakıt: Dizel**

**✔ Motor: 1.6 TDI Bluemotion**

**✔ Kasa Tipi: Sedan**

**✔ Renk: Siyah**

**✔ Kilometre: 351.000 KM**

**Öne Çıkan Özellikleri**

**✅ Bluemotion Teknolojisi – Yakıt tasarrufu ve çevreci motor yapısı**

**✅ Comfortline Donanım Paketi – Konfor, güvenlik ve teknoloji bir arada**

**✅ Hatasız ve Boyasız – Sadece sol ön kapı kolu çevresinde lokal boya mevcut**

**✅ Otomatik Vites Konforu – Akıcı sürüş deneyimi**

**✅ Siyah Renk – Prestijli ve Şık Görünüm**

**✅ Geniş ve Konforlu İç Mekan – Aileler ve uzun yolculuklar için ideal**

**✅ Ekonomik ve Güvenilir – Volkswagen kalitesiyle ikinci elde güvenli tercih**

**Açıklama**

**Egemen Auto Plaza güvencesiyle satışa sunduğumuz 2013 Model Volkswagen Passat 1.6 TDI Bluemotion Comfortline, hem prestijli hem de ekonomik bir sedan arayanlar için ideal bir fırsattır. Otomatik vites rahatlığı, Bluemotion teknolojisinin sunduğu yakıt tasarrufu ve Comfortline donanımın sunduğu üst düzey konforla bu araç, uzun süre sorunsuz kullanıma hazır. Araçta herhangi bir hasar kaydı yoktur, sadece sol ön kapı kolu çevresinde lokal boya mevcuttur.**

**İKİNCİ ELDE GÜVENİN ADRESİ: EGEMEN AUTO PLAZA**

**Detaylı Bilgi ve Test Sürüşü İçin Hemen Bizimle İletişime Geçin!**"
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2013-model-gaziantep-211-000-km-beyaz/30248313,"2013 Model

1.6 TDi Comfortline DSG

Orjinal 212.000 Km

Motor Yürüyen Kusursuz

Expertiz; Sağ İki Kapı Değişen Sağ Arka Çamurluk Lokal

Tramer; Yeni Tarihli 65.000 Tl"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2019-model-yeni-logo-hatasiz-boyasiz-tramesiz/28854590,"2019 WOLKSWAGEN PASSAT 1.6 TDI COMFORTLİNE-

PANAROMİK CAM TAVAN

-LED FAR-

17 İNÇ ""LONDON JANT SIFIR LASTİK

-TABLET EKRAN MULTİMEDYA-

-GERİ GÖRÜŞ KAMERASI  -

-KATLANIR AYNA-

-ÖN ARKA YENİ LOGO-

-ARAÇ İÇİ KOMPLE HİGHLİNE MAUN GÖĞÜS-

- EN ÇOK ARANAN BEYAZ İÇİ BEJ-

EXPERTİZ BİLGİSİ

RESİMLERDE MEVCUTTUR

H**“YETKİ BELGE NUMARASI”**

**-8000401-**

FİRMAMIZ TARAFINDAN YAPILAN İŞLEMLER

SIVI BAKIMLARI 05.06.2024 TARİHİNDE YENİ YAPILMIŞTIR 

TRİGER SETİ  05.06.2024 TARİHİNDE YENİ DEĞİŞMİŞTİR

CAM FİLMİ 05.06.2024 TARİHİNDE YAPILMIŞTIR

FATURASI MEVCUTTUR

Aracın takas fiyatı farklıdır aracınızın fiyatına göre fiyat değişİR

ARAÇLARINIZI ESNAF FİYATI İLE TAKASTA DEĞERLENDİRİYORUZ."
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/galeriden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2015-model-gaziantep/30788594,2015 model Passat comfort 195.000’de hatasız boyasız değişen siz sadece iki lokal var sağ iki kapıda birer karış
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/full-bakimli-2015-model-dizel-otomatik-passat/30478497,"ARACIMIZ FULL BAKIMLIDIR. KAVRAMA VOLANT YENİ DEĞİŞMİŞTİR. KM Sİ UZUN YOLDA YAPILMIŞTIR O YÜZDEN FAZLA YIPRANMAMIŞTIR. UZUN YILLAR TEK ELDEN KULLANILMIŞTIR.

MANTIKLI TAKAS TEKLİFLERİ DEĞERLENDİRİLİR.

1.6 DİZEL OTOMATİK COMFORTLİNE PAKETTİR."
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/satilik-2017-model-passat-comfortline/30823817,"➡️ satılık 2017 model Passat   
  
➡️ 1.6 TDI BlueMotion Comfortline  
  
➡️ km : 279 binde   
  
➡️ motor performansı % 86  
  
➡️ motor mekanik alt takım sorunsuz   
  
➡️ hasar : 8 bin   
  
➡️ pasta cila yeni yapıldı   
  
➡️ ön 3 parça boyalı sol ön kapı değişen   
 Sol arka kapı boyalı   
  
➡️ iletişim : 05442163373"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/furkan-otomotiv-2014-passat-otomatik-hatasiz-arac-kayseride/29157139,"2014  
1.6 dizel  
Comfortline   
Otomatik  
Hatasız

Sol iki kapı sök tak"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-trendline/cankardesler-den-hesapli-passat/30386632,Aracımızın motor mekanik yürüyeninden herhangi bir sıkıntı yoktur ekspertiz raporu görselde işaretlidir 21.000 TL hasar kaydı vardır detaylı bilgi için arayınız
