ilan_linki,aciklama,fiyat,ilan_no,ilan_tarihi,marka,seri,model,yıl,km,vites,yakıt,kasa,renk,motor_hacmi,motor_gücü,çekiş,boya_durumu,takasa_uygunluk,kimden,orjinal_parcalar,lokal_boyalı_parcalar,boyalı_parcalar,değişmiş_parcalar,belirtilmemiş_parcalar
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-highline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-highline-2012-model/30165939,"05411183095

ARACIM 2012 MODEL OLUP MOTORU YÜRÜYENİ ŞANZUMANI KUSURSUZDUR

ARAÇ BEJ İÇ DÖŞEME, SİS FARI, AUTO FAR YAĞMUR SENSÖRÜ BULUNAN COMFORTLİNE PAKET OLUP ÖZEL SİPARİŞ ÜST AÇAR MEVCUTTUR

ARACIN KAVRAMA VOLANT, DİSK BALATA 4 LASTİK YENİ OLUP FATURA MEVCUTTUR

ARAÇ 3 BOYA 1 DEĞİŞEN HARİCİ HATASIZDIR. AĞIR HASAR KAYITLIDIR

SİYAH CAM ZENON FAR GİBİ EXTRALARI MEVCUTTUR. KUSURSUZ BIR ARAÇTIR",875000,30165939.0,13 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2012.0,235.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,İkinci El,Takasa Uygun,Sahibinden,-,"Sağ Arka Kapı, Sağ Ön Kapı, Sağ Ön Çamurluk",-,Motor Kaputu,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sol Ön Çamurluk, Ön Tampon, Arka Tampon"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/seckin-motors-2018-passat-comfortline-hatasiz-45-bin-km/30609757,"***SEÇKİN MOTORS***

***2018 MODEL***

***VOLKSWAGEN PASSAT***

***1.6 TDI 120 BG***

***COMFORTLİNE PAKET***

***ORJ. 45.000 KM​***

***DOĞUŞ BAKIMLI***

***ERGO ACTİVE KOLTUKLAR***

***OTO. FAR SENSÖRÜ***

***17'' COMFORTLİNE JANT***

***ÇARPIŞMA ÖNLEME***

***AKTİF CRUİSE CONTROL***

***ÖN ARKA PARK SENSÖRÜ***

***YOL BİLGİSAYARI***

***VS....***

---EKSPERTİZ---

***3 PARÇA LOKAL BOYA***

***( SAĞ ÖN ÇAMURLUK-SAĞ ARKA KAPI ALTI-)***

***DEĞİŞEN YOKTUR..***

***TRAMER: 2.000 TL***

***BELİRTİLENLER HARİCİNDE BOYA DEĞİŞEN TRAMER YOKTUR....***

************DETAYLI BİLGİ İÇİN ARAYABİLİRSİNİZ************

***************NOT : TAKAS FİYATIMIZ FARKLIDIR***************

***********NOT: TÜM ARAÇLARIMIZ EXPERTİZ GARANTİLİDİR***********

************Firmamızda**********ÇEK - SENET - VADE-**********İle satışımız yoktur.************

*************DİĞER İLANLARIMIZ İÇİN LİNK'İ TIKLAYINIZ*************

*************https://arabam.com/galeri/seckin-motors-istanbul/*************",1660000,30609757.0,15 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2018.0,45.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun Değil,Galeriden,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Motor Kaputu, Sol Ön Çamurluk, Ön Tampon, Arka Tampon","Sağ Arka Kapı, Sağ Ön Çamurluk",-,-,-
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2013-volkswagen-passat-1-6-tdi-hatasiz-boyasiz-ekonomik/30177082,"**EGEMEN AUTO PLAZA’DAN**

**2013 VOLKSWAGEN PASSAT 1.6 TDI BLUEMOTION COMFORTLINE – Otomatik, Siyah, Hatasız ve Ekonomik**

**Araç Bilgileri**

**✔ Marka / Model: 2013 Volkswagen Passat 1.6 TDI Bluemotion Comfortline**

**✔ Vites: Otomatik**

**✔ Yakıt: Dizel**

**✔ Motor: 1.6 TDI Bluemotion**

**✔ Kasa Tipi: Sedan**

**✔ Renk: Siyah**

**✔ Kilometre: 351.000 KM**

**Öne Çıkan Özellikleri**

**✅ Bluemotion Teknolojisi – Yakıt tasarrufu ve çevreci motor yapısı**

**✅ Comfortline Donanım Paketi – Konfor, güvenlik ve teknoloji bir arada**

**✅ Hatasız ve Boyasız – Sadece sol ön kapı kolu çevresinde lokal boya mevcut**

**✅ Otomatik Vites Konforu – Akıcı sürüş deneyimi**

**✅ Siyah Renk – Prestijli ve Şık Görünüm**

**✅ Geniş ve Konforlu İç Mekan – Aileler ve uzun yolculuklar için ideal**

**✅ Ekonomik ve Güvenilir – Volkswagen kalitesiyle ikinci elde güvenli tercih**

**Açıklama**

**Egemen Auto Plaza güvencesiyle satışa sunduğumuz 2013 Model Volkswagen Passat 1.6 TDI Bluemotion Comfortline, hem prestijli hem de ekonomik bir sedan arayanlar için ideal bir fırsattır. Otomatik vites rahatlığı, Bluemotion teknolojisinin sunduğu yakıt tasarrufu ve Comfortline donanımın sunduğu üst düzey konforla bu araç, uzun süre sorunsuz kullanıma hazır. Araçta herhangi bir hasar kaydı yoktur, sadece sol ön kapı kolu çevresinde lokal boya mevcuttur.**

**İKİNCİ ELDE GÜVENİN ADRESİ: EGEMEN AUTO PLAZA**

**Detaylı Bilgi ve Test Sürüşü İçin Hemen Bizimle İletişime Geçin!**",795000,30177082.0,12 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013.0,351.000 km,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,"Sağ Arka Çamurluk, Arka Kaput, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Sol Ön Çamurluk, Ön Tampon, Arka Tampon",-,Sol Arka Çamurluk,-,-
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2013-model-gaziantep-211-000-km-beyaz/30248313,"2013 Model

1.6 TDi Comfortline DSG

Orjinal 212.000 Km

Motor Yürüyen Kusursuz

Expertiz; Sağ İki Kapı Değişen Sağ Arka Çamurluk Lokal

Tramer; Yeni Tarihli 65.000 Tl",930000,30248313.0,17 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013.0,211.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,,Sahibinden,-,Sağ Arka Çamurluk,-,"Sağ Arka Kapı, Sağ Ön Kapı","Arka Kaput, Sol Arka Çamurluk, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Sol Ön Çamurluk, Ön Tampon, Arka Tampon"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2019-model-yeni-logo-hatasiz-boyasiz-tramesiz/28854590,"2019 WOLKSWAGEN PASSAT 1.6 TDI COMFORTLİNE-

PANAROMİK CAM TAVAN

-LED FAR-

17 İNÇ ""LONDON JANT SIFIR LASTİK

-TABLET EKRAN MULTİMEDYA-

-GERİ GÖRÜŞ KAMERASI  -

-KATLANIR AYNA-

-ÖN ARKA YENİ LOGO-

-ARAÇ İÇİ KOMPLE HİGHLİNE MAUN GÖĞÜS-

- EN ÇOK ARANAN BEYAZ İÇİ BEJ-

EXPERTİZ BİLGİSİ

RESİMLERDE MEVCUTTUR

H**“YETKİ BELGE NUMARASI”**

**-8000401-**

FİRMAMIZ TARAFINDAN YAPILAN İŞLEMLER

SIVI BAKIMLARI 05.06.2024 TARİHİNDE YENİ YAPILMIŞTIR 

TRİGER SETİ  05.06.2024 TARİHİNDE YENİ DEĞİŞMİŞTİR

CAM FİLMİ 05.06.2024 TARİHİNDE YAPILMIŞTIR

FATURASI MEVCUTTUR

Aracın takas fiyatı farklıdır aracınızın fiyatına göre fiyat değişİR

ARAÇLARINIZI ESNAF FİYATI İLE TAKASTA DEĞERLENDİRİYORUZ.",1.670.000 TL,28854590.0,11 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2019.0,167.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Sol Ön Çamurluk, Ön Tampon, Arka Tampon",-,-,-,-
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/galeriden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2015-model-gaziantep/30788594,2015 model Passat comfort 195.000’de hatasız boyasız değişen siz sadece iki lokal var sağ iki kapıda birer karış,1.200.000 TL,30788594.0,07 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015.0,195.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,-,-,-,-,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Sol Ön Çamurluk, Ön Tampon, Arka Tampon"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/full-bakimli-2015-model-dizel-otomatik-passat/30478497,"ARACIMIZ FULL BAKIMLIDIR. KAVRAMA VOLANT YENİ DEĞİŞMİŞTİR. KM Sİ UZUN YOLDA YAPILMIŞTIR O YÜZDEN FAZLA YIPRANMAMIŞTIR. UZUN YILLAR TEK ELDEN KULLANILMIŞTIR.

MANTIKLI TAKAS TEKLİFLERİ DEĞERLENDİRİLİR.

1.6 DİZEL OTOMATİK COMFORTLİNE PAKETTİR.",865.000 TL,30478497.0,10 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015.0,410.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,"Arka Kaput, Sol Arka Çamurluk, Tavan, Motor Kaputu, Ön Tampon, Arka Tampon",-,"Sağ Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Sol Ön Çamurluk",-,-
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/satilik-2017-model-passat-comfortline/30823817,,,,,,,,,,,,,,,,,,,,,,,,
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/furkan-otomotiv-2014-passat-otomatik-hatasiz-arac-kayseride/29157139,"2014  
1.6 dizel  
Comfortline   
Otomatik  
Hatasız

Sol iki kapı sök tak",1.050.000 TL,29157139.0,21 Mayıs 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2014.0,187.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun Değil,Galeriden,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Sol Ön Çamurluk, Ön Tampon, Arka Tampon",-,-,-,-
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-trendline/cankardesler-den-hesapli-passat/30386632,Aracımızın motor mekanik yürüyeninden herhangi bir sıkıntı yoktur ekspertiz raporu görselde işaretlidir 21.000 TL hasar kaydı vardır detaylı bilgi için arayınız,1.265.000 TL,30386632.0,06 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2017.0,155.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,"Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sol Ön Çamurluk, Ön Tampon, Arka Tampon",Sağ Arka Çamurluk,"Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı","Sağ Ön Çamurluk, Motor Kaputu",-
